id;Ro;Rn;matches;wins;draws;losses
FLU_RJ;1518;1593;96;38;32;26
ATL_MG;1532;1577;90;42;24;24
FLA_RJ;1604;1522;88;40;20;28
IPA_MG;1468;1491;80;44;14;22
ATH_PR;1438;1488;85;31;22;32
BAH_BA;1479;1479;58;30;14;14
TUN_PA;1483;1478;34;14;8;12
ATL_GO;1482;1477;43;19;12;12
COR_AL;1470;1474;32;15;8;9
SAO_SP;1538;1474;76;45;19;12
ULB_RS;1457;1456;31;10;13;8
SAN_SP;1519;1455;83;40;19;24
CTB_PR;1440;1450;86;40;21;25
FIG_SC;1451;1445;88;36;26;26
ANA_PA;1435;1443;33;16;8;9
POR_SP;1426;1439;79;29;25;25
TRE_PB;1479;1433;30;11;8;11
JUV_RS;1382;1424;80;25;17;38
FAS_AM;1423;1419;32;12;7;13
FOR_CE;1397;1416;84;30;20;34
SRA_AM;1417;1416;46;13;12;21
STA_SP;1396;1413;78;27;26;25
NAU_PE;1337;1409;90;39;20;31
GUA_SP;1409;1404;57;19;19;19
VIL_GO;1396;1403;68;26;15;27
BOT_RJ;1409;1401;90;35;28;27
INT_RS;1479;1398;76;35;18;23
VAS_RJ;1353;1398;92;38;28;26
VIT_BA;1415;1390;73;34;14;25
SPO_PE;1429;1372;81;34;22;25
PAY_PA;1375;1370;51;16;10;25
SCA_SP;1350;1365;81;24;25;32
CRB_AL;1339;1363;79;29;16;34
GRE_RS;1388;1362;80;40;14;26
CRU_MG;1342;1360;88;37;20;31
AVA_SC;1357;1357;82;26;25;31
MAR_SP;1374;1350;76;30;19;27
GAM_DF;1328;1347;81;30;15;36
PAL_SP;1385;1342;79;30;18;31
BRA_DF;1361;1340;90;36;24;30
PAU_SP;1347;1328;76;29;19;28
PTP_SP;1302;1319;78;23;22;33
CEA_CE;1335;1313;80;24;26;30
GRB_SP;1325;1306;63;30;10;23
COR_SP;1287;1301;81;27;24;30
GOI_GO;1230;1300;79;29;18;32
CRI_SC;1298;1285;69;32;13;24
ITU_SP;1263;1248;76;20;23;33
REM_PA;1258;1235;80;24;14;42
PAR_PR;1269;1231;76;29;14;33
SCZ_PE;1241;1227;83;18;21;44
AME_RN;1093;1074;80;25;9;46
