id;Ro;Rn;matches;wins;draws;losses
IPA_MG;1625;1631;34;22;4;8
SAO_SP;1637;1618;38;22;11;5
ATL_MG;1600;1590;45;23;12;10
GOI_GO;1450;1565;38;15;10;13
VIT_BA;1561;1553;31;15;7;9
FIG_SC;1557;1537;38;15;12;11
AME_RN;1509;1514;38;19;4;15
NAU_PE;1516;1514;44;21;11;12
VAS_RJ;1506;1513;50;21;18;11
SPO_PE;1534;1504;38;18;10;10
PAR_PR;1497;1503;38;18;6;14
PAU_SP;1477;1496;38;17;10;11
SAN_SP;1471;1485;45;21;14;10
INT_RS;1561;1484;38;20;9;9
GRE_RS;1563;1479;42;23;7;12
COR_SP;1442;1476;38;15;8;15
STA_SP;1479;1475;40;14;14;12
POR_SP;1439;1464;38;11;12;15
CRI_SC;1459;1463;31;17;5;9
REM_PA;1477;1450;42;14;8;20
ITU_SP;1419;1446;38;12;14;12
CTB_PR;1428;1445;42;17;13;12
BRA_DF;1467;1442;43;18;9;16
FLA_RJ;1381;1427;50;23;10;17
CEA_CE;1442;1421;38;10;15;13
GUA_SP;1416;1416;43;14;15;14
SRA_AM;1384;1409;38;11;10;17
GAM_DF;1424;1402;38;14;5;19
MAR_SP;1411;1385;38;13;11;14
CRU_MG;1317;1380;44;17;11;16
CRB_AL;1348;1370;41;15;7;19
VIL_GO;1381;1357;43;13;10;20
FOR_CE;1272;1347;43;11;15;17
PAY_PA;1312;1347;41;14;8;19
AVA_SC;1360;1344;38;12;10;16
ATH_PR;1355;1341;41;15;9;17
BOT_RJ;1363;1306;42;15;12;15
FLU_RJ;1317;1300;47;17;14;16
PAL_SP;1291;1295;38;12;8;18
JUV_RS;1326;1292;38;13;8;17
SCA_SP;1304;1265;43;11;11;21
PTP_SP;1256;1256;38;10;9;19
SCZ_PE;1174;1159;42;8;9;25
